stock,p_e_ratio,p_b_ratio,p_s_ratio,ev_ebitda,ev_gp,current_price
RECLTD.NS,6.756353,1.366738,5.017795,,2.11353E+11,
RHIM.NS,,2.469847,2.6093152,16.234,14908660736,
RITES.NS,34.533665,5.0440736,6.0017805,23.91,6844599808,
RADICO.NS,94.75728,11.858361,6.7309866,49.753,20773025792,
RVNL.NS,67.10912,8.985346,4.31226,74.225,15167099904,
RAILTEL.NS,41.29689,6.1927414,3.5573466,21.687,5773799936,
RAINBOW.NS,58.037624,9.385176,8.798815,25.709,11655870464,
RAJESHEXPO.NS,151.26155,0.37443897,0.018411975,20.754,4690936832,
RKFORGE.NS,28.476946,3.7562666,2.5673146,13.429,20884555776,
RCF.NS,32.045834,1.8376881,0.49703136,13.415,67506098176,
RATNAMANI.NS,38.089745,5.7700057,3.9693098,24.697,18144296960,
RTNINDIA.NS,18.582376,4.612897,1.0437549,74183.305,7578039808,
RAYMOND.NS,87.50349,1.123509,2.143623,23.809,7613000192,
REDINGTON.NS,13,2.388097,0.20994501,11.279,52198498304,178.9
RELIANCE.NS,28.089272,2.3028724,2.0127058,13.55,3.35004E+12,
ROUTE.NS,18.927937,2.4837368,1.3199478,10.085,6908599808,1680
SBFC.NS,35.503357,3.5812209,14.135884,,8137820160,
SBICARD.NS,45.077076,6.25194,8.60518,,27521300480,
SBILIFE.NS,74.75519,10.626527,1.5443865,64.895,86340698112,
SJVN.NS,39.37066,2.7488139,13.136177,26.233,29199300608,
SKFINDIA.NS,39.76378,8.646323,4.5670605,30.767,19033800704,
SRF.NS,68.29003,6.7869096,5.833248,31.583,56420401152,
SAMMAANCAP.NS,,0.44517827,-8.136179,,-12365299712,121.52
MOTHERSON.NS,24.873964,3.1344564,0.95470107,10.943,4.93381E+11,
SANOFI.NS,40.04717,16.814032,7.187625,29.242,10190000128,
SAPPHIRE.NS,529.99994,7.655695,3.605414,24.413,15886249984,
SAREGAMA.NS,52.39849,6.7758327,9.111965,35.563,4524599808,
SCHAEFFLER.NS,64.469864,11.723305,7.3283014,41.463,31665700864,
SCHNEIDER.NS,74.741196,40.606117,6.4361634,44.551,9546300416,
SCI.NS,11.072927,1.1244957,1.6653277,6.186,19319300096,161.85
SHREECEM.NS,99.74343,5.2101803,5.819217,27.448,1.2263E+11,
RENUKA.NS,,-4.1424036,0.6548829,19.945,16928000000,20.45
SHRIRAMFIN.NS,13.250249,2.2128463,7.106672,,1.70112E+11,
SHYAMMETL.NS,26.79373,2.281132,1.6019764,13.691,41960198144,
SIEMENS.NS,47.426277,9.376055,5.2058163,39.71,71932002304,
SIGNATURE.NS,165.49512,22.984987,6.675593,399.403,5910559744,
SOBHA.NS,223.93388,3.8773158,4.068122,54.275,12301030400,
SOLARINDS.NS,119.06903,32.77021,19.063469,70.715,36329701376,
SONACOMS.NS,54.828976,6.165995,9.555395,32.722,20013219840,
SONATSOFTW.NS,26.151833,6.5084615,1.0921632,15.656,14777600000,
STARHEALTH.NS,42.614887,3.3247523,1.6914376,26.514,34520600576,
SBIN.NS,9.143647,1.4558117,2.0673418,,3.42939E+12,
SAIL.NS,23.534071,0.9165764,0.52198666,8.915,4.79858E+11,
SWSOLAR.NS,82.75862,6.6825995,1.0670861,26.815,6409600000,
SUMICHEM.NS,51.79922,9.829743,8.480524,39.845,12789959680,
SPARC.NS,,-24.641415,72.65147,-17.338,504400000,565
SUNPHARMA.NS,36.73241,5.5440335,7.6486044,25.176,4.18311E+11,
SUNTV.NS,14.288452,2.2063534,6.163172,10.644,27069800448,
SUNDARMFIN.NS,37.01065,4.7145996,14.802447,,35005198336,
SUNDRMFAST.NS,39.303776,5.574157,3.5653965,23.296,36016799744,
SUPREMEIND.NS,53.431293,9.057696,4.9080424,34.124,32440600576,
SUZLON.NS,76.63096,18.1018,9.491276,59.987,34276700160,
SWANENERGY.NS,13.986959,1.5295811,2.516821,-246.206,8550908928,408.7
SYNGENE.NS,52.601135,5.528957,7.173034,23.758,26998999040,
SYRMA.NS,58.09424,5.6528025,2.6086228,30.786,8552189952,
TBOTEK.NS,63.83488,11.626582,7.994571,42.125,13613809664,
TVSMOTOR.NS,59.793285,15.517444,2.9852574,23.336,1.74347E+11,
TVSSCS.NS,,3.1159782,0.5787155,28.516,14319800320,
TANLA.NS,15.159193,3.3815293,1.9050763,9.899,8017509888,851
TATACHEM.NS,110.92453,1.044252,1.5093395,14.801,95880003584,
TATACOMM.NS,29.69266,15.950451,2.085153,12.722,85035401216,
TCS.NS,26.346642,13.506558,5.0125604,18.842,9.7888E+11,
TATACONSUM.NS,88.109146,5.671019,6.438,48.235,73757401088,
TATAELXSI.NS,51.12074,14.0077715,10.742242,38.82,14428513280,
TATAINVEST.NS,102.075195,1.0199357,103.66981,-11.018,3062200064,
TATAMOTORS.NS,11.2153845,2.3106692,0.6103741,6.071,1.99014E+12,
TATAPOWER.NS,32.41546,3.5794303,1.9646891,13.294,2.52458E+11,
TATASTEEL.NS,59.310215,2.2252195,0.9274132,11.334,1.23542E+12,
TATATECH.NS,45.79484,8.6429825,5.9918876,31.812,13893900288,
TTML.NS,,-0.7478998,11.194039,68.243,5910199808,
TECHM.NS,33.446114,5.184823,2.6747198,19.312,1.75268E+11,
TECHNOE.NS,44.36326,4.172407,7.838817,42.61,4229499904,
TEJASNET.NS,29.199526,3.4575014,1.4557375,12.429,24011100160,
NIACL.NS,29.313196,0.68553454,0.6978673,10.194,56175800320,82
RAMCOCEM.NS,61.421875,3.1205049,2.7129397,22.171,51560800256,
THERMAX.NS,61.747917,7.9448204,3.7766807,42.91,45751898112,
TIMKEN.NS,58.34364,8.231708,7.3238482,33.775,12975979520,
TITAGARH.NS,41.989395,5.2109857,3.1332614,27.331,9192806400,
TITAN.NS,96.04416,27.548187,5.2972383,58.898,1.3E+11,
TORNTPHARM.NS,56.404175,14.215249,9.367485,29.559,87399997440,
TORNTPOWER.NS,23.279465,4.078965,2.4731772,14.851,76802801664,
TRENT.NS,127.09292,35.965794,11.464639,70.548,74454695936,
TRIDENT.NS,45.38356,3.8216636,2.4103687,20.274,33827600384,
TRIVENI.NS,43.659794,2.767178,1.7294835,26.979,14493082624,
TRITURBINE.NS,52.375885,15.253142,9.36535,40.387,10055999488,
TIINDIA.NS,88.024765,10.662281,3.1274319,30.801,61317509120,
UCOBANK.NS,12.617887,1.1947652,3.2914634,,1.1833E+11,
UNOMINDA.NS,61.957184,10.162928,3.467312,32.364,59064999936,
UPL.NS,65.49741,1.6975305,1.0998784,9.03,2.2414E+11,
UTIAMC.NS,21.039074,3.3392105,8.303757,13.996,13931400192,
UJJIVANSFB.NS,11.97035,1.4157289,2.3011258,,37348098048,49.5
ULTRACEMCO.NS,56.864178,4.8627906,4.5267463,29.326,4.38322E+11,
UNIONBANK.NS,5.9445386,0.9424376,2.0825248,,5.14681E+11,
UBL.NS,121.80358,12.3982115,6.0689454,63.884,38465798144,
UNITDSPR.NS,69.87871,13.626926,9.151466,48.895,56719998976,
USHAMART.NS,23.721018,3.505698,2.7802022,17.043,17241100288,
VGUARD.NS,53.781513,8.019715,3.000081,32.883,20220700672,
VIPIND.NS,,8.272625,2.3377929,71.057,9937500160,
DBREALTY.NS,26.37989,2.079535,16.087109,-132.947,1354739968,
VTL.NS,15.713151,1.4205835,1.4705869,11.898,43834900480,248.6
VARROC.NS,79.8511,4.8487186,0.9707972,11.916,28653649920,
VBL.NS,57.05674,9.826955,7.67939,32.657,1.1711E+11,
MANYAVAR.NS,46.164894,10.056055,12.9507475,27.401,10173700096,
VEDL.NS,10.993092,4.2214622,1.1546876,5.615,7.9104E+11,
VIJAYA.NS,67.13056,12.051823,14.1251,34.497,5966265856,
VINATIORGA.NS,46.826454,6.778736,8.436311,33.071,9008799744,
IDEA.NS,,-0.506098,1.7454172,24.029,1.8946E+11,
VOLTAS.NS,49.24588,6.3731375,2.6916842,36.486,34524000256,
WELCORP.NS,13.825677,3.373816,1.4077086,12.933,48043499520,
WELSPUNLIV.NS,21.983849,3.1441114,1.3581945,12.875,47444901888,
WESTLIFE.NS,915.1333,17.315454,4.3107634,37.662,13690171392,
WHIRLPOOL.NS,44.962883,4.0830474,2.0378034,28.268,26946199552,
WIPRO.NS,19.98722,3.1601548,2.941026,12.951,2.73082E+11,
YESBANK.NS,26.910257,1.362014,4.704686,,1.39916E+11,
ZFCVINDIA.NS,53.991173,7.722276,6.480041,36.486,16083099648,
ZEEL.NS,17.815643,1.0631151,1.4772403,8.55,17036999680,159.8
ZENSARTECH.NS,29.528502,4.6814423,3.610089,21.148,11889999872,
ZYDUSLIFE.NS,20.294575,3.8335872,3.9521418,12.938,1.69035E+11,
ECLERX.NS,29.996431,6.856537,4.6933107,18.703,12186779648,
